 
ZENNER DO BRASIL INSTRUMENTOS DE MEDICAO LTDA    FILIAL: ZRB;                                                                    13/04/26 17:33 PAGINA:   1/1
RELATORIO VINCULO DE LACRE COM O LOTE;LACRES: 0 A 999999999;
________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________;
COD. LACRE;LACRE;DATA VINCULO;SEQ. LOTE;TIPO;LOTE PRODUTO;COD. INMETRO;LOTE INMETRO;
435078;ECH2763167;07/08/2024;484583;G;I23Z0001038D;;;
435079;ECH2763179;07/08/2024;484581;G;I23Z0001036D;;;
435080;ECH2763180;07/08/2024;484932;G;I23Z0001018D;;;
435081;ECH2763192;07/08/2024;484933;G;I23Z0001019D;;;
435082;ECH2763209;07/08/2024;484582;G;I23Z0001037D;;;
435083;ECH2763210;07/08/2024;484934;G;I23Z0001020D;;;
435084;ECH2763222;07/08/2024;484935;G;I23Z0001021D;;;
435085;ECH2763234;07/08/2024;484938;G;I23Z0001024D;;;
435086;ECH2763246;07/08/2024;484939;G;I23Z0001025D;;;
435087;ECH2763258;07/08/2024;484940;G;I23Z0001026D;;;
435088;ECH2763260;07/08/2024;484936;G;I23Z0001022D;;;
435089;ECH2763271;07/08/2024;484942;G;I23Z0001028D;;;
435090;ECH2763283;07/08/2024;484941;G;I23Z0001027D;;;
435091;ECH2763295;07/08/2024;484943;G;I23Z0001030D;;;
435092;ECH2763301;07/08/2024;484937;G;I23Z0001023D;;;
435093;ECH2763313;07/08/2024;484946;G;I23Z0001039D;;;
435094;ECH2763325;07/08/2024;484945;G;I23Z0001035D;;;
435095;ECH2763337;07/08/2024;484944;G;I23Z0001032D;;;
435096;ECH2763349;07/08/2024;484579;G;I23Z0001033D;;;
435097;ECH2763350;07/08/2024;484584;G;I23Z0001041D;;;
435098;ECH2763362;07/08/2024;484948;G;I23Z0001042D;;;
435099;ECH2763374;07/08/2024;484947;G;I23Z0001040D;;;
435100;ECH2763386;07/08/2024;484949;G;I23Z0001043D;;;
435101;ECH2763398;07/08/2024;484585;G;I23Z0001044D;;;
435102;ECH2763404;07/08/2024;484586;G;I23Z0001048D;;;
435103;ECH2763416;07/08/2024;484587;G;I23Z0001049D;;;
435104;ECH2763428;07/08/2024;484588;G;I23Z0001051D;;;
435105;ECH2763430;07/08/2024;484951;G;I23Z0001046D;;;
435106;ECH2763441;07/08/2024;484950;G;I23Z0001045D;;;
435107;ECH2763453;07/08/2024;484589;G;I23Z0001052D;;;
435108;ECH2763465;07/08/2024;484591;G;I23Z0001055D;;;
435109;ECH2763477;07/08/2024;484954;G;I23Z0001054D;;;
435110;ECH2763489;07/08/2024;484952;G;I23Z0001047D;;;
435111;ECH2763490;07/08/2024;484953;G;I23Z0001050D;;;
435112;ECH2763507;07/08/2024;484956;G;I23Z0001058D;;;
435113;ECH2763519;07/08/2024;484957;G;I23Z0001059D;;;
